max_depth,n_estimators,learning_rate,subsample,colsample_bytree,min_child_weight,reg_alpha,reg_lambda,train_rmse,val_rmse,val_acc
2,300,0.05,0.6,0.8,5,1.0,1,0.41106,0.67934,0.37288
2,200,0.1,0.8,0.8,20,0.0,1,0.38711,0.67942,0.35539
2,200,0.05,0.8,0.7,5,0.0,5,0.44976,0.67946,0.39974
2,200,0.05,0.8,0.7,20,0.0,1,0.45775,0.67949,0.39454
2,300,0.05,0.6,0.7,5,1.0,5,0.42414,0.6795,0.3596
2,200,0.1,0.8,0.8,5,0.0,5,0.37236,0.67961,0.38761
3,300,0.05,0.8,0.6,10,0.5,10,0.33624,0.67968,0.44817
3,300,0.05,0.6,0.8,5,0.0,1,0.26351,0.67971,0.43934
2,200,0.1,0.8,0.8,10,0.0,5,0.38286,0.67975,0.39369
2,200,0.1,0.6,0.8,5,1.0,1,0.38037,0.67987,0.37856
2,200,0.1,0.7,0.8,10,0.5,10,0.40091,0.67991,0.32563
2,300,0.1,0.8,0.8,5,0.0,5,0.32139,0.68009,0.37881
2,300,0.1,0.8,0.7,5,0.5,1,0.31232,0.6801,0.4048
3,300,0.05,0.6,0.8,10,0.5,10,0.34344,0.68018,0.39941
2,300,0.05,0.8,0.7,20,0.0,1,0.42116,0.68026,0.38553
2,200,0.05,0.8,0.7,20,1.0,1,0.46279,0.6803,0.38761
2,100,0.1,0.8,0.8,20,0.0,10,0.4676,0.68044,0.38751
2,100,0.1,0.8,0.8,20,1.0,10,0.47644,0.68065,0.38164
2,300,0.1,0.8,0.7,5,1.0,5,0.34626,0.68071,0.39636
2,300,0.1,0.6,0.7,10,0.5,10,0.36401,0.68074,0.34577
2,300,0.1,0.8,0.8,20,1.0,10,0.37688,0.68077,0.37285
2,300,0.05,0.8,0.7,10,1.0,1,0.41444,0.68078,0.37981
2,100,0.1,0.8,0.8,10,1.0,10,0.46911,0.6808,0.40068
3,300,0.1,0.7,0.8,5,0.5,1,0.17107,0.6808,0.41017
2,200,0.1,0.8,0.7,10,1.0,10,0.40631,0.68093,0.38838
2,300,0.1,0.8,0.7,20,0.5,10,0.36875,0.68093,0.35428
2,300,0.1,0.8,0.8,5,1.0,1,0.33159,0.68094,0.41174
2,300,0.1,0.8,0.8,10,0.5,5,0.34139,0.68094,0.38981
2,300,0.05,0.8,0.6,10,0.5,1,0.40995,0.68128,0.38075
2,200,0.05,0.8,0.7,5,1.0,1,0.44657,0.6814,0.4108
3,300,0.05,0.7,0.6,20,1.0,10,0.38318,0.68143,0.39945
2,300,0.1,0.8,0.6,10,0.0,5,0.3288,0.68144,0.34019
2,300,0.05,0.8,0.6,10,0.0,1,0.40381,0.6816,0.35467
2,300,0.05,0.6,0.6,10,0.0,5,0.42166,0.68164,0.35101
2,300,0.05,0.8,0.8,5,0.0,5,0.40964,0.68164,0.3795
2,300,0.1,0.8,0.7,10,0.5,10,0.35626,0.68172,0.38669
2,300,0.05,0.8,0.7,5,0.0,1,0.39307,0.68176,0.37222
2,300,0.05,0.6,0.7,10,0.5,5,0.42449,0.6818,0.35092
2,300,0.05,0.6,0.8,20,0.0,10,0.44634,0.68187,0.33356
2,300,0.1,0.8,0.8,20,0.0,1,0.34131,0.68191,0.38026
2,300,0.05,0.6,0.7,5,0.0,10,0.42519,0.68208,0.3392
2,300,0.1,0.6,0.8,20,0.5,10,0.38411,0.68212,0.37398
3,300,0.05,0.7,0.6,5,0.0,10,0.31824,0.68213,0.41769
2,300,0.05,0.7,0.6,20,0.0,10,0.44433,0.6822,0.35007
2,300,0.05,0.7,0.6,10,0.5,10,0.4366,0.68227,0.36084
3,300,0.05,0.6,0.7,5,1.0,10,0.34432,0.68234,0.35713
3,300,0.1,0.6,0.6,10,0.0,10,0.24252,0.68234,0.3948
2,200,0.1,0.8,0.6,5,1.0,1,0.37721,0.68243,0.34405
2,200,0.1,0.8,0.8,5,0.5,1,0.3652,0.68243,0.39588
3,200,0.05,0.6,0.8,5,0.0,1,0.32672,0.68244,0.42807
3,300,0.05,0.8,0.6,5,0.5,10,0.32698,0.68244,0.43622
2,300,0.05,0.6,0.7,5,1.0,1,0.41195,0.68245,0.34855
2,300,0.1,0.8,0.7,5,0.0,1,0.29882,0.68256,0.36562
2,300,0.05,0.6,0.7,5,0.5,1,0.40208,0.6826,0.34768
2,300,0.1,0.6,0.8,5,0.5,1,0.31405,0.68262,0.38717
2,300,0.1,0.6,0.6,10,0.5,5,0.35331,0.68274,0.4164
2,300,0.05,0.6,0.7,10,1.0,1,0.41959,0.68296,0.34919
2,200,0.1,0.8,0.6,10,0.0,5,0.3805,0.68306,0.3323
2,300,0.1,0.8,0.7,10,1.0,10,0.36403,0.68309,0.3872
3,300,0.05,0.8,0.6,5,0.5,5,0.30271,0.68315,0.43436
2,300,0.05,0.8,0.6,5,0.5,10,0.43019,0.68319,0.36562
2,300,0.05,0.7,0.6,10,1.0,10,0.44264,0.68321,0.36175
2,300,0.05,0.8,0.8,5,1.0,5,0.42043,0.68322,0.3887
2,300,0.05,0.6,0.6,10,0.5,5,0.42656,0.68344,0.35056
2,300,0.05,0.8,0.7,10,0.0,1,0.4006,0.68345,0.36756
2,300,0.05,0.7,0.7,10,0.5,1,0.41021,0.68347,0.3913
2,300,0.05,0.6,0.6,10,0.5,10,0.43871,0.6836,0.33256
2,300,0.1,0.8,0.6,5,0.5,1,0.31671,0.68363,0.36879
2,300,0.05,0.6,0.8,5,0.5,1,0.40091,0.68365,0.38711
2,300,0.1,0.7,0.8,10,0.5,10,0.35233,0.68369,0.33146
2,300,0.05,0.8,0.8,20,0.0,5,0.42293,0.68381,0.38441
3,300,0.05,0.7,0.7,10,0.0,10,0.32408,0.68382,0.41825
3,300,0.05,0.7,0.7,20,0.5,5,0.35603,0.68382,0.41822
2,300,0.05,0.8,0.8,10,1.0,5,0.42433,0.68385,0.3814
3,300,0.1,0.6,0.8,10,0.0,10,0.22835,0.68386,0.40761
2,300,0.05,0.7,0.6,20,1.0,10,0.45634,0.68391,0.3393
2,300,0.1,0.6,0.7,5,1.0,10,0.3657,0.68399,0.33824
2,200,0.1,0.8,0.6,5,0.5,5,0.3863,0.68401,0.32852
2,200,0.1,0.8,0.7,5,1.0,5,0.39061,0.68402,0.37598
2,300,0.05,0.7,0.6,20,0.5,5,0.44066,0.68402,0.35597
2,300,0.1,0.8,0.8,5,0.0,10,0.3402,0.68405,0.40026
2,300,0.05,0.7,0.6,10,0.5,5,0.42435,0.68418,0.37452
2,300,0.05,0.7,0.7,10,0.0,10,0.42524,0.68419,0.35534
2,100,0.1,0.8,0.7,10,0.5,10,0.4641,0.6842,0.36846
2,200,0.1,0.6,0.8,5,0.0,10,0.39056,0.6842,0.30941
2,200,0.1,0.8,0.8,20,0.0,5,0.39752,0.6842,0.37669
2,200,0.05,0.6,0.8,10,0.5,5,0.46343,0.68436,0.35651
2,200,0.1,0.8,0.7,5,1.0,10,0.4041,0.6844,0.38256
2,300,0.05,0.7,0.7,10,0.5,5,0.42165,0.68441,0.36718
2,100,0.1,0.8,0.8,5,0.5,5,0.45392,0.68444,0.39637
2,300,0.05,0.6,0.8,20,0.5,5,0.44285,0.68448,0.36635
2,300,0.1,0.6,0.8,10,1.0,10,0.36962,0.68452,0.33647
3,300,0.05,0.7,0.6,10,0.5,10,0.3443,0.68453,0.39584
2,300,0.05,0.7,0.6,5,0.5,10,0.43391,0.68486,0.37593
2,300,0.05,0.7,0.7,20,0.0,10,0.44402,0.68488,0.3425
2,300,0.1,0.8,0.7,5,1.0,10,0.36279,0.68493,0.38433
2,300,0.05,0.8,0.8,20,0.5,5,0.4277,0.68494,0.36628
2,300,0.05,0.7,0.7,20,0.5,5,0.43769,0.68495,0.365
2,300,0.05,0.8,0.7,5,0.5,5,0.4137,0.68497,0.36875
2,200,0.1,0.6,0.8,5,0.5,10,0.39984,0.68506,0.3084
2,300,0.05,0.7,0.7,10,0.0,1,0.40143,0.68514,0.36791
3,300,0.05,0.7,0.7,20,1.0,5,0.36564,0.68516,0.39329
2,200,0.05,0.8,0.6,5,0.5,10,0.46703,0.68519,0.39357
2,300,0.1,0.8,0.7,10,1.0,5,0.3531,0.68525,0.37139
2,200,0.1,0.8,0.7,20,0.0,5,0.39366,0.68526,0.35379
3,300,0.05,0.6,0.8,10,0.0,10,0.33351,0.6853,0.3909
3,300,0.05,0.8,0.6,5,1.0,10,0.33477,0.68538,0.43393
3,300,0.1,0.8,0.6,10,0.5,1,0.1975,0.68543,0.40834
2,300,0.1,0.6,0.8,10,0.5,1,0.3274,0.68548,0.3724
2,300,0.05,0.8,0.8,5,0.5,1,0.39904,0.68553,0.40463
2,300,0.05,0.6,0.7,5,0.0,1,0.39393,0.68557,0.35165
2,200,0.1,0.6,0.8,5,1.0,5,0.39496,0.68563,0.33009
2,100,0.1,0.8,0.7,20,0.5,10,0.47103,0.68565,0.37112
2,300,0.05,0.8,0.8,10,0.0,5,0.41328,0.6857,0.38621
2,200,0.05,0.8,0.8,5,0.0,1,0.43366,0.68578,0.41682
2,300,0.05,0.7,0.7,5,0.5,5,0.41726,0.6858,0.36319
2,200,0.05,0.7,0.8,5,0.0,10,0.45905,0.68581,0.38594
2,300,0.05,0.7,0.7,5,0.0,5,0.41104,0.68582,0.34818
3,200,0.05,0.8,0.6,10,0.5,10,0.3896,0.68582,0.44066
2,300,0.05,0.7,0.7,10,1.0,1,0.41471,0.68584,0.38921
2,300,0.05,0.8,0.6,20,0.0,1,0.42103,0.68594,0.36246
2,300,0.05,0.8,0.6,5,1.0,1,0.41054,0.68596,0.37391
2,300,0.05,0.8,0.6,20,1.0,5,0.4363,0.68596,0.36069
2,300,0.05,0.7,0.6,5,0.0,10,0.42597,0.68597,0.36517
2,200,0.1,0.8,0.7,5,0.0,1,0.35246,0.68599,0.3572
2,200,0.1,0.6,0.8,20,0.5,5,0.41731,0.68604,0.3425
3,300,0.05,0.8,0.8,5,1.0,5,0.30809,0.68608,0.40653
2,300,0.05,0.6,0.6,5,1.0,1,0.41448,0.68611,0.36402
2,300,0.05,0.7,0.6,20,0.5,10,0.4494,0.68614,0.34007
3,300,0.1,0.7,0.6,10,1.0,10,0.25519,0.68618,0.4199
