feature
"avg_iews_anom_z_(-12.0,190.0)"
"avg_iews_anom_z_(-12.0,192.0)"
"avg_iews_anom_z_(-12.0,194.0)"
"avg_iews_anom_z_(-12.0,196.0)"
"avg_iews_anom_z_(-12.0,198.0)"
"avg_iews_anom_z_(-12.0,200.0)"
"avg_iews_anom_z_(-12.0,202.0)"
"avg_iews_anom_z_(-12.0,204.0)"
"avg_iews_anom_z_(-12.0,206.0)"
"avg_iews_anom_z_(-12.0,208.0)"
"avg_iews_anom_z_(-12.0,210.0)"
"avg_iews_anom_z_(-12.0,212.0)"
"avg_iews_anom_z_(-12.0,214.0)"
"avg_iews_anom_z_(-12.0,216.0)"
"avg_iews_anom_z_(-12.0,218.0)"
"avg_iews_anom_z_(-12.0,220.0)"
"avg_iews_anom_z_(-12.0,222.0)"
"avg_iews_anom_z_(-12.0,224.0)"
"avg_iews_anom_z_(-12.0,226.0)"
"avg_iews_anom_z_(-12.0,228.0)"
"avg_iews_anom_z_(-12.0,230.0)"
"avg_iews_anom_z_(-12.0,232.0)"
"avg_iews_anom_z_(-12.0,234.0)"
"avg_iews_anom_z_(-12.0,236.0)"
"avg_iews_anom_z_(-12.0,238.0)"
"avg_iews_anom_z_(-12.0,240.0)"
"avg_iews_anom_z_(-12.0,242.0)"
"avg_iews_anom_z_(-12.0,244.0)"
"avg_iews_anom_z_(-12.0,246.0)"
"avg_iews_anom_z_(-12.0,248.0)"
"avg_iews_anom_z_(-12.0,250.0)"
"avg_iews_anom_z_(-12.0,252.0)"
"avg_iews_anom_z_(-12.0,254.0)"
"avg_iews_anom_z_(-12.0,256.0)"
"avg_iews_anom_z_(-12.0,258.0)"
"avg_iews_anom_z_(-12.0,260.0)"
"avg_iews_anom_z_(-12.0,262.0)"
"avg_iews_anom_z_(-12.0,264.0)"
"avg_iews_anom_z_(-12.0,266.0)"
"avg_iews_anom_z_(-12.0,268.0)"
"avg_iews_anom_z_(-12.0,270.0)"
"avg_iews_anom_z_(-12.0,272.0)"
"avg_iews_anom_z_(-12.0,274.0)"
"avg_iews_anom_z_(-12.0,276.0)"
"avg_iews_anom_z_(-12.0,278.0)"
"avg_iews_anom_z_(-12.0,280.0)"
"avg_iews_anom_z_(-14.0,120.0)"
"avg_iews_anom_z_(-14.0,122.0)"
"avg_iews_anom_z_(-14.0,124.0)"
"avg_iews_anom_z_(-14.0,126.0)"
"avg_iews_anom_z_(-14.0,128.0)"
"avg_iews_anom_z_(-14.0,130.0)"
"avg_iews_anom_z_(-14.0,132.0)"
"avg_iews_anom_z_(-14.0,134.0)"
"avg_iews_anom_z_(-14.0,136.0)"
"avg_iews_anom_z_(-14.0,138.0)"
"avg_iews_anom_z_(-14.0,140.0)"
"avg_iews_anom_z_(-14.0,142.0)"
"avg_iews_anom_z_(-14.0,144.0)"
"avg_iews_anom_z_(-14.0,146.0)"
"avg_iews_anom_z_(-14.0,148.0)"
"avg_iews_anom_z_(-14.0,150.0)"
"avg_iews_anom_z_(-14.0,152.0)"
"avg_iews_anom_z_(-14.0,154.0)"
"avg_iews_anom_z_(-14.0,156.0)"
"avg_iews_anom_z_(-14.0,158.0)"
"avg_iews_anom_z_(-14.0,160.0)"
