K,val_rmse
1,1.148444068004229
2,0.9862233762030476
4,0.9920526256585916
6,0.8259589595881411
8,0.7986180028843771
10,0.7850126041691187
12,0.7496269890225584
14,0.7283108088321842
16,0.7420831129037139
18,0.7347010877558655
20,0.7588488864246441
22,0.6945905547095261
24,0.742181220808396
26,0.721581997325925
28,0.6957181325862024
30,0.6987918237691904
32,0.7258324123530293
34,0.7476258539585039
36,0.746139358091352
38,0.7407526949923939
40,0.7570800262234244
42,0.7308318317590928
44,0.7749688320470063
46,0.7921570767742923
48,0.8054324253869177
50,0.8133161243562806
