K,val_rmse
1,1.148444068004229
2,1.067304308093392
4,0.9963247616388299
6,0.8575978078263612
8,0.8143816460309751
10,0.6848420614309083
12,0.6707136765520941
14,0.6465900260470148
16,0.6524015035424692
18,0.6408358201629634
20,0.6973391411256878
22,0.7009391866483581
24,0.7407053366920682
26,0.6888348430333893
28,0.7317930024580336
30,0.723731275892467
32,0.7226071252836526
34,0.7075758174019152
36,0.7102951627121123
38,0.7178987528693197
40,0.7368730185603387
42,0.7573895748396422
44,0.7254691842066912
46,0.7196890240827976
48,0.7306611017301616
50,0.6814630173764402
52,0.7049836384093197
54,0.7240805132494025
56,0.7401828352581642
58,0.7074132125739001
60,0.7385410052560518
62,0.7374410566696664
64,0.7590697704229654
66,0.7976917876083097
68,0.764380059921198
70,0.7482298562214412
72,0.7458202670251548
74,0.7995631079361506
76,0.7681854526245053
78,0.7353861064737502
80,0.758744409495397
