K,val_rmse
1,1.148444068004229
2,1.0746316434079173
4,1.025238327191167
6,0.9620129478202982
8,0.8581273752900103
10,0.7801132742513209
12,0.7200470091275006
14,0.5945623345371762
16,0.6549513421127959
18,0.6107542966996933
20,0.6418749841840368
22,0.6901373069599861
24,0.6938788495591869
26,0.6761225487184137
28,0.7528333129392231
30,0.7391043315805995
32,0.7148025694939398
34,0.7746966013415278
36,0.696969520605005
38,0.7112600425740587
40,0.7254395346666547
42,0.707009655737546
44,0.7196070145468706
46,0.7448853207344668
48,0.7512156960906435
50,0.7467577996221819
52,0.7521934541111063
54,0.7766915521646749
56,0.6836388313021581
58,0.6634263369928084
60,0.6542430267229294
62,0.7060543725710764
64,0.7317056697963383
66,0.7677322560648872
68,0.7214095406466839
70,0.7492928790323322
72,0.7148172735683723
74,0.7103417527731903
76,0.7108688084032524
78,0.718496574197255
80,0.7312910221068042
