max_depth,n_estimators,learning_rate,subsample,colsample_bytree,min_child_weight,reg_alpha,reg_lambda,train_rmse,val_rmse,val_acc
2,300,0.05,0.6,0.7,10,0.0,10,0.3874682702230696,0.6190961782641285,0.5559207242357873
2,200,0.1,0.6,0.6,10,0.5,1,0.34399569978925015,0.6192946311871085,0.5783605160206234
2,300,0.1,0.8,0.8,10,1.0,5,0.2975193186652885,0.6194375229955577,0.5483750791996124
2,300,0.05,0.6,0.6,5,0.0,10,0.3863465762591407,0.619488483861142,0.5683290653627964
2,200,0.1,0.6,0.6,10,0.5,5,0.35427053378865714,0.619617030055784,0.5551628468843298
2,300,0.05,0.6,0.6,10,1.0,1,0.3759675611928911,0.6201284897531604,0.5781607412697458
2,100,0.1,0.7,0.8,10,0.5,5,0.4207601133343009,0.6201464020815787,0.550910341672123
2,200,0.05,0.6,0.6,20,0.5,10,0.45140581867909,0.6202115764827899,0.5621769909494041
2,200,0.05,0.6,0.6,5,1.0,5,0.43159329524270257,0.6202168341311,0.5739639565864018
3,200,0.05,0.8,0.8,10,0.0,1,0.2854068605550769,0.620269260583776,0.5902405421760104
3,300,0.05,0.8,0.8,20,0.5,1,0.27180786051398764,0.620303094786555,0.5889019869373726
2,200,0.1,0.8,0.6,10,1.0,5,0.35251046373819195,0.6204289747352112,0.5829953255744507
3,200,0.05,0.6,0.6,10,0.0,5,0.3242204204189339,0.6204731955937268,0.601254423924256
3,300,0.05,0.6,0.6,10,0.0,5,0.2596090364688429,0.6206339418164414,0.6023654653587489
2,200,0.05,0.6,0.6,5,0.0,10,0.4353067950415185,0.6206410347269636,0.5732972358922791
2,300,0.1,0.6,0.6,10,0.0,5,0.2918813912280142,0.6207953276440873,0.600164399470414
2,300,0.05,0.6,0.6,10,0.5,1,0.3676180393253679,0.6208052733072561,0.570961127594427
2,300,0.05,0.6,0.6,20,0.0,10,0.4067174719700759,0.6211537102225343,0.5632270218035152
2,200,0.1,0.8,0.8,20,0.5,10,0.3667311555306859,0.6212121663034597,0.568220201373386
2,200,0.05,0.6,0.6,5,1.0,10,0.4460395092724748,0.6212842761733424,0.5722111047777257
3,300,0.05,0.6,0.6,20,0.0,1,0.29379574514377527,0.6213409606135785,0.5732040457513228
3,100,0.1,0.8,0.7,10,0.0,1,0.28801981617373396,0.6213426853713763,0.6000046654326268
2,300,0.05,0.6,0.6,5,0.5,10,0.39274188930256504,0.6214138823286449,0.568172020369338
3,300,0.05,0.8,0.8,5,0.5,1,0.21239796862759888,0.621418416738498,0.5828575796593434
2,300,0.05,0.6,0.7,10,0.5,10,0.3942734247244223,0.6214968016161833,0.5639398354077979
3,300,0.05,0.6,0.6,5,0.5,10,0.27877458276886535,0.6218660628536085,0.6219670739203434
2,200,0.1,0.7,0.8,20,0.5,5,0.3612163336407264,0.6220897672949844,0.5251284310285825
2,300,0.05,0.7,0.8,20,1.0,5,0.3957723084824522,0.6222489846973372,0.539588325258889
3,200,0.05,0.6,0.6,5,0.5,10,0.3400810263672861,0.6222636355246947,0.6128034159384859
2,200,0.1,0.6,0.8,5,0.5,5,0.3375489519808736,0.6223037272102392,0.5210159292081593
2,200,0.1,0.6,0.6,5,1.0,1,0.34082271031122696,0.6225810828309328,0.5713209291542146
2,300,0.05,0.8,0.6,20,0.0,5,0.38907293715723795,0.6228047631853306,0.5776839808130189
2,200,0.05,0.6,0.6,5,0.5,5,0.42406856507690543,0.6230460361462699,0.5690904700715811
2,200,0.1,0.7,0.7,10,1.0,10,0.3683141838835327,0.6231430399574054,0.5428889183309163
2,200,0.05,0.6,0.6,20,0.5,1,0.4321029991654267,0.6231965739331885,0.5633707025046405
2,300,0.05,0.6,0.6,5,1.0,5,0.3870738316749958,0.6232558268218662,0.5696485315155393
2,300,0.05,0.6,0.6,5,1.0,10,0.40342549383557325,0.623467508922303,0.5630917747658732
2,200,0.05,0.6,0.6,20,0.0,1,0.42804671038250064,0.6234991789571804,0.5692181015812552
2,300,0.1,0.8,0.6,10,1.0,5,0.30203516751713894,0.6237800218769205,0.586387505862443
2,300,0.05,0.8,0.7,20,0.5,5,0.3935390134896661,0.6238572747514074,0.5757890938805781
2,200,0.05,0.6,0.6,10,0.5,5,0.4288087112863159,0.6238851772748932,0.5668334732946254
2,300,0.1,0.8,0.8,5,0.5,10,0.2930040169307795,0.6239022818437158,0.5771888841659073
2,200,0.05,0.6,0.6,10,1.0,1,0.42115407311689174,0.62400957337584,0.5755478371111172
3,200,0.05,0.6,0.6,5,0.0,10,0.3295981680908675,0.6240228729812756,0.6013245522987668
3,200,0.05,0.8,0.8,5,0.5,1,0.27254678084827866,0.6240308545320893,0.5824230339924421
2,300,0.05,0.6,0.7,10,0.0,5,0.37133787035895255,0.6243349548103463,0.5435004148776319
3,100,0.1,0.6,0.7,5,0.0,1,0.27510346742396824,0.6243537597389153,0.5986020999131495
